序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1265,301315,威士顿,62.86,-1.58,-1.01,17553.0,110855264.53,1.97,63.88,62.62,63.24,63.87,1.31,7.98,159.15,5.66,5531680000.0,1382920000.0,-0.25,-0.52,13.96,18.92
1268,300628,亿联网络,27.07,-1.6,-0.44,34341.0,93478238.64,2.07,27.57,27.0,27.4,27.51,1.54,0.47,16.91,4.2,34211477518.0,19572126875.0,-0.07,-0.07,-8.08,-8.39
1269,300590,移为通信,9.82,-1.6,-0.16,42016.0,41321775.4,2.1,9.97,9.76,9.91,9.98,1.75,1.19,34.41,2.59,4505525100.0,3468438612.0,-0.1,-0.1,-13.1,-18.23
1271,301558,三态股份,12.2,-1.61,-0.2,86503.0,105245817.34,1.45,12.27,12.09,12.12,12.4,2.03,7.78,67.28,6.91,9623984921.0,1357028631.0,0.16,0.08,-22.88,-18.12
1274,300502,新易盛,75.79,-1.65,-1.27,217136.0,1670964962.35,3.97,78.58,75.52,76.98,77.06,1.07,3.52,77.91,9.84,53804762981.0,46809258974.0,0.07,0.0,46.6,53.67
1275,301383,天键股份,44.38,-1.68,-0.76,16175.0,72251492.61,3.01,45.54,44.18,44.54,45.14,1.7,5.57,35.29,2.81,5161837800.0,1289682800.0,-0.05,-0.18,-21.51,-31.72
1277,301101,明月镜片,30.23,-1.69,-0.52,5174.0,15792982.0,3.35,31.25,30.22,31.25,30.75,1.74,0.72,37.32,3.93,6091710783.0,2160480663.0,-0.23,-0.33,-21.77,-27.78
1280,301035,润丰股份,69.94,-1.73,-1.23,1646.0,11587718.1,1.77,71.17,69.91,71.17,71.17,0.8,0.18,20.26,3.0,19489626854.0,6248795525.0,0.01,0.0,0.69,-0.09
1281,300128,锦富技术,4.47,-1.76,-0.08,156001.0,70523424.05,3.74,4.62,4.45,4.55,4.55,1.76,1.43,-43.89,4.53,5807045892.0,4889548666.0,-0.22,-0.22,0.9,-3.04
1282,300203,聚光科技,15.53,-1.77,-0.28,28259.0,44069157.66,3.35,15.93,15.4,15.78,15.81,0.58,0.63,-29.66,2.28,6968894928.0,6964818303.0,-0.26,-0.51,-3.48,-2.02
1284,300199,翰宇药业,13.18,-1.79,-0.24,300266.0,393457626.68,2.76,13.33,12.96,13.23,13.42,1.51,4.51,-48.36,10.35,11641120808.0,8778325655.0,-0.3,-0.08,-7.57,-2.95
1285,300957,贝泰妮,66.35,-1.79,-1.21,19142.0,127860845.8,2.68,67.8,65.99,67.1,67.56,1.47,0.88,36.39,4.83,28105860000.0,14424072725.0,-0.2,-0.29,2.87,-2.67
1289,300832,新产业,80.52,-1.82,-1.49,8611.0,69770671.3,1.82,82.0,80.51,82.0,82.01,1.62,0.12,39.98,8.91,63266076568.0,56234935458.0,-0.11,-0.16,8.14,2.97
1292,300569,天能重工,5.35,-1.83,-0.1,131479.0,70491117.27,2.39,5.43,5.3,5.34,5.45,2.41,1.41,20.03,1.0,5471305970.0,4997756193.0,0.0,-0.19,-21.09,-25.17
1293,300893,松原股份,30.64,-1.86,-0.58,10007.0,30702563.72,2.69,31.22,30.38,31.22,31.22,1.58,0.89,44.27,7.06,6912384000.0,3447237950.0,-0.68,-0.87,9.31,4.82
1296,301191,菲菱科思,95.96,-1.89,-1.85,15927.0,153874938.63,2.93,98.62,95.75,97.1,97.81,1.52,6.09,41.08,4.04,6654058320.0,2508339223.0,0.11,-0.26,1.9,4.08
1297,300919,中伟股份,54.76,-1.9,-1.06,19649.0,108467088.88,2.36,56.03,54.71,55.78,55.82,0.9,0.3,19.84,1.97,36679567880.0,36420313451.0,-0.24,-0.13,24.48,11.46
1298,300811,铂科新材,57.48,-1.91,-1.12,21200.0,123463893.0,3.72,59.46,57.28,58.25,58.6,1.13,1.31,45.39,6.27,11430303119.0,9290484928.0,0.02,-0.1,10.56,8.72
1299,301568,思泰克,44.07,-1.91,-0.86,25587.0,112343322.48,2.94,44.8,43.48,43.81,44.93,0.98,10.45,40.94,4.61,4550597688.0,1079164213.0,0.39,0.18,-3.61,-3.4
1300,300979,华利集团,56.8,-1.92,-1.11,7521.0,42912813.72,2.69,57.96,56.4,57.83,57.91,0.9,0.51,20.72,4.39,66285600000.0,8297193480.0,0.16,0.18,9.31,7.9
1301,301061,匠心家居,57.17,-1.92,-1.12,2697.0,15465552.2,3.26,58.9,57.0,58.3,58.29,0.94,0.84,17.01,2.51,7317760000.0,1829440000.0,-0.56,-0.49,27.75,14.91
1302,300045,华力创通,25.5,-1.92,-0.5,419522.0,1069454000.11,3.08,25.87,25.07,25.4,26.0,1.37,8.51,1907.08,9.79,16898218518.0,12566932976.0,-0.08,-0.12,18.11,4.81
1303,300360,炬华科技,16.8,-1.93,-0.33,66184.0,112092054.22,2.51,17.21,16.78,17.06,17.13,1.82,1.34,14.51,2.48,8556485717.0,8322266602.0,-0.12,0.12,28.44,22.99
1304,300997,欢乐家,15.14,-1.94,-0.3,21117.0,31815540.6,2.85,15.36,14.92,15.34,15.44,1.95,2.41,23.9,4.55,6775150000.0,1324750000.0,0.0,-0.07,7.3,8.38
1305,300042,朗科科技,33.93,-1.99,-0.69,31091.0,106601300.0,2.86,34.85,33.86,34.8,34.62,1.36,1.71,-138.58,5.98,6799572000.0,6161926596.0,-0.03,-0.21,-5.65,-3.06
1306,300857,协创数据,61.5,-2.01,-1.26,58073.0,359461667.77,4.48,63.58,60.77,62.99,62.76,1.36,2.38,57.43,6.44,14993764329.0,14993764329.0,0.08,0.05,22.51,16.06
1307,300777,中简科技,25.3,-2.01,-0.52,47351.0,121667563.0,3.37,26.16,25.29,26.0,25.82,1.68,1.12,34.07,2.76,11124600686.0,10720692435.0,-0.12,-0.2,-9.9,-15.19
